Unieke identificatie gemeten parameter,CASnummer,AQUO_Codes,AQUO_Omschrijving,ISC_Parameter,Geanalyseerde fractie,Aanpak kwantificeringsgrens,Unieke identificatie van de eenheid,DONAR_Parameter,DONAR_PARCode,HDH
1101,15972-60-8,alCl,alachloor,Alachloor,NVT,<,µg/L,alachloor,alCl,NVT
1103,309-00-2,aldn,aldrin,Aldrin,NVT,<,µg/L,aldrin,aldn,NVT
1107,1912-24-9,atzne,atrazine,Atrazine,NVT,<,µg/L,atrazine,atzne,NVT
1107,1912-24-9,atzne,atrazine,Atrazine,NVT,=,µg/L,atrazine,atzne,NVT
1114,71-43-2,Ben,benzeen,Benzeen,NVT,<,µg/L,benzeen,Ben,NVT
1115,50-32-8,BaP,benzo(a)pyreen,Benzo (a) pyreen,NVT,=,µg/L,benzo(a)pyreen,BaP,NVT
1115,50-32-8,BaP,benzo(a)pyreen,Benzo (a) pyreen,NVT,<,µg/L,benzo(a)pyreen,BaP,NVT
1117,207-08-9,BkF,benzo(k)fluorantheen,Benzo (k) fluorantheen,NVT,=,µg/L,benzo(k)fluorantheen,BkF,NVT
1117,207-08-9,BkF,benzo(k)fluorantheen,Benzo (k) fluorantheen,NVT,<,µg/L,benzo(k)fluorantheen,BkF,NVT
1118,191-24-2,BghiPe,benzo(ghi)peryleen,Benzo (ghi) peryleen,NVT,=,µg/L,"benzo(g,h,i)peryleen",BghiPe,NVT
1118,191-24-2,BghiPe,benzo(ghi)peryleen,Benzo (ghi) peryleen,NVT,<,µg/L,"benzo(g,h,i)peryleen",BghiPe,NVT
1119,42576-02-3,bfnx,bifenox,bifenox,NVT,<,µg/L,bifenox,bfnx,NVT
1135,67-66-3,TClC1a,trichloormethaan (chloroform),Trichloormethaan,NVT,<,µg/L,trichloormethaan (chloroform),TClC1a,NVT
1140,52315-07-8,cypmtn,cypermethrin,cypermetrine,NVT,<,µg/L,cypermethrin,cypmtn,NVT
1144,72-54-8,44DDD,"4,4'-dichloordifenyldichloorethaan",DDD pp',NVT,<,µg/L,"4,4'-dichloordifenyldichloorethaan",44DDD,NVT
1146,72-55-9,44DDE,"4,4'-dichloordifenyldichlooretheen",DDE pp',NVT,<,µg/L,"4,4'-dichloordifenyldichlooretheen",44DDE,NVT
1147,789-02-6,24DDT,"2,4'-dichloordifenyltrichloorethaan",DDT op',NVT,<,µg/L,"2,4'-dichloordifenyltrichloorethaan",24DDT,NVT
1148,50-29-3,44DDT,"4,4'-dichloordifenyltrichloorethaan",DDT pp',NVT,<,µg/L,"4,4'-dichloordifenyltrichloorethaan",44DDT,NVT
1161,107-06-2,12DClC2a,"1,2-dichloorethaan","1,2-dichloorethaan",NVT,<,µg/L,"1,2-dichloorethaan",12DClC2a,NVT
1168,75-09-2,DClC1a,dichloormethaan,Dichloormethaan,NVT,<,µg/L,dichloormethaan,DClC1a,NVT
1170,62-73-7,DClvs,dichloorvos,dichloorvos,NVT,<,µg/L,dichloorvos,DClvs,NVT
1172,115-32-2,Dcfl,dicofol,Dicofol,,,,dicofol,Dcfl,NVT
1173,60-57-1,dieldn,dieldrin,Dieldrin,NVT,<,µg/L,dieldrin,dieldn,NVT
1177,330-54-1,Durn,diuron,Diuron,NVT,<,µg/L,diuron,Durn,NVT
1177,330-54-1,Durn,diuron,Diuron,NVT,=,µg/L,diuron,Durn,NVT
1178,959-98-8,aedsfn,alfa-endosulfan,alfa-Endosulfan,NVT,<,µg/L,alfa-endosulfan,aedsfn,NVT
1179,33213-65-9,bedsfn,beta-endosulfan,beta-Endosulfan,NVT,<,µg/L,beta-endosulfan,bedsfn,NVT
1181,72-20-8,endn,endrin,Endrin,NVT,<,µg/L,endrin,endn,NVT
1181,72-20-8,endn,endrin,Endrin,NVT,=,µg/L,endrin,endn,NVT
1191,206-44-0,Flu,fluorantheen,Fluorantheen,NVT,=,µg/L,fluorantheen,Flu,NVT
1191,206-44-0,Flu,fluorantheen,Fluorantheen,NVT,<,µg/L,fluorantheen,Flu,NVT
1197,76-44-8,HpCl,heptachloor,heptachloor,NVT,<,µg/L,heptachloor,HpCl,NVT
1198,1024-57-3,cHpClepO,cis-heptachloorepoxide,heptachloorepoxide,NVT,<,µg/L,cis-heptachloorepoxide,cHpClepO,NVT
1199,118-74-1,HCB,hexachloorbenzeen,Hexachloorbenzeen,NVT,<,µg/L,hexachloorbenzeen,HCB,NVT
1200,319-84-6,aHCH,alfa-hexachloorcyclohexaan,alpha Hexachloorcyclohexaan,NVT,<,µg/L,alfa-hexachloorcyclohexaan,aHCH,NVT
1201,319-85-7,bHCH,beta-hexachloorcyclohexaan,beta Hexachloorcyclohexaan,NVT,<,µg/L,beta-hexachloorcyclohexaan,bHCH,NVT
1202,319-86-8,dHCH,delta-hexachloorcyclohexaan,delta Hexachloorcyclohexaan,NVT,<,µg/L,delta-hexachloorcyclohexaan,dHCH,NVT
1202,319-86-8,dHCH,delta-hexachloorcyclohexaan,delta Hexachloorcyclohexaan,NVT,=,µg/L,delta-hexachloorcyclohexaan,dHCH,NVT
